Sat Jun 17 2023 6:35:0 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:35:0 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:35:14 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:35:14 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:35:23 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:35:23 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:36:31 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:36:31 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:42:54 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:42:54 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:46:18 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:46:18 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:47:4 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:47:4 | [PH] info: Application listening on port 5000
Sat Jun 17 2023 6:47:12 | [PH] info: Database is connected successfully
Sat Jun 17 2023 6:47:12 | [PH] info: Application listening on port 5000
