Fri Jun 30 2023 3:6:1 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:6:1 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:15:42 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:15:42 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:20:48 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:20:48 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:36:18 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:36:18 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:38:46 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:38:46 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:50:54 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:50:54 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:53:46 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:53:46 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:55:31 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:55:31 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:55:55 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:55:55 | [PH] info: Application listening on port 5000
Fri Jun 30 2023 3:57:31 | [PH] info: Database is connected successfully
Fri Jun 30 2023 3:57:31 | [PH] info: Application listening on port 5000
